MotorEnergy,Engine,Country,Year,NumCars
Diesel,From 1 400 to 1 999 cm³,Albania,2021,233368
Diesel,From 1 400 to 1 999 cm³,Albania,2022,252775
Diesel,From 1 400 to 1 999 cm³,Albania,2023,277611
Diesel,From 1 400 to 1 999 cm³,Austria,1999,1088000
Diesel,From 1 400 to 1 999 cm³,Austria,2000,1211000
Diesel,From 1 400 to 1 999 cm³,Austria,2001,1325000
Diesel,From 1 400 to 1 999 cm³,Austria,2002,1413000
Diesel,From 1 400 to 1 999 cm³,Austria,2003,1528000
Diesel,From 1 400 to 1 999 cm³,Austria,2004,1642000
Diesel,From 1 400 to 1 999 cm³,Austria,2005,1731000
Diesel,From 1 400 to 1 999 cm³,Austria,2006,1737000
Diesel,From 1 400 to 1 999 cm³,Austria,2007,1780000
Diesel,From 1 400 to 1 999 cm³,Austria,2008,1808000
Diesel,From 1 400 to 1 999 cm³,Austria,2009,1847000
Diesel,From 1 400 to 1 999 cm³,Austria,2010,1895000
Diesel,From 1 400 to 1 999 cm³,Austria,2011,1946000
Diesel,From 1 400 to 1 999 cm³,Austria,2012,1999000
Diesel,From 1 400 to 1 999 cm³,Austria,2013,2040083
Diesel,From 1 400 to 1 999 cm³,Austria,2014,2075423
Diesel,From 1 400 to 1 999 cm³,Austria,2015,2114381
Diesel,From 1 400 to 1 999 cm³,Austria,2016,2161479
Diesel,From 1 400 to 1 999 cm³,Austria,2017,2189040
Diesel,From 1 400 to 1 999 cm³,Austria,2018,2205012
Diesel,From 1 400 to 1 999 cm³,Austria,2019,2218877
Diesel,From 1 400 to 1 999 cm³,Austria,2020,2232277
Diesel,From 1 400 to 1 999 cm³,Austria,2021,2220991
Diesel,From 1 400 to 1 999 cm³,Austria,2022,2189120
Diesel,From 1 400 to 1 999 cm³,Austria,2023,2157405
Diesel,From 1 400 to 1 999 cm³,Bosnia and Herzegovina,2013,411265
Diesel,From 1 400 to 1 999 cm³,Bosnia and Herzegovina,2014,443778
Diesel,From 1 400 to 1 999 cm³,Bosnia and Herzegovina,2015,475081
Diesel,From 1 400 to 1 999 cm³,Bosnia and Herzegovina,2016,502914
Diesel,From 1 400 to 1 999 cm³,Bosnia and Herzegovina,2017,520360
Diesel,From 1 400 to 1 999 cm³,Bosnia and Herzegovina,2018,548988
Diesel,From 1 400 to 1 999 cm³,Bosnia and Herzegovina,2019,573425
Diesel,From 1 400 to 1 999 cm³,Bosnia and Herzegovina,2020,580679
Diesel,From 1 400 to 1 999 cm³,Bosnia and Herzegovina,2021,619808
Diesel,From 1 400 to 1 999 cm³,Bosnia and Herzegovina,2022,641894
Diesel,From 1 400 to 1 999 cm³,Bosnia and Herzegovina,2023,674227
Diesel,From 1 400 to 1 999 cm³,Belgium,2005,1865000
Diesel,From 1 400 to 1 999 cm³,Belgium,2006,1962000
Diesel,From 1 400 to 1 999 cm³,Belgium,2007,2058000
Diesel,From 1 400 to 1 999 cm³,Belgium,2008,2167000
Diesel,From 1 400 to 1 999 cm³,Belgium,2009,2251000
Diesel,From 1 400 to 1 999 cm³,Belgium,2010,2356000
Diesel,From 1 400 to 1 999 cm³,Belgium,2011,2685000
Diesel,From 1 400 to 1 999 cm³,Belgium,2012,2521000
Diesel,From 1 400 to 1 999 cm³,Belgium,2013,2568476
Diesel,From 1 400 to 1 999 cm³,Belgium,2014,2598962
Diesel,From 1 400 to 1 999 cm³,Belgium,2015,2614895
Diesel,From 1 400 to 1 999 cm³,Belgium,2016,2585063
Diesel,From 1 400 to 1 999 cm³,Belgium,2017,2531891
Diesel,From 1 400 to 1 999 cm³,Belgium,2018,2417197
Diesel,From 1 400 to 1 999 cm³,Belgium,2019,2285481
Diesel,From 1 400 to 1 999 cm³,Belgium,2020,2180034
Diesel,From 1 400 to 1 999 cm³,Belgium,2021,2054569
Diesel,From 1 400 to 1 999 cm³,Belgium,2022,1915037
Diesel,From 1 400 to 1 999 cm³,Belgium,2023,1735682
Diesel,From 1 400 to 1 999 cm³,Switzerland,1998,59000
Diesel,From 1 400 to 1 999 cm³,Switzerland,1999,65000
Diesel,From 1 400 to 1 999 cm³,Switzerland,2000,75000
Diesel,From 1 400 to 1 999 cm³,Switzerland,2001,95000
Diesel,From 1 400 to 1 999 cm³,Switzerland,2002,120000
Diesel,From 1 400 to 1 999 cm³,Switzerland,2003,149000
Diesel,From 1 400 to 1 999 cm³,Switzerland,2004,184000
Diesel,From 1 400 to 1 999 cm³,Switzerland,2005,225000
Diesel,From 1 400 to 1 999 cm³,Switzerland,2006,268000
Diesel,From 1 400 to 1 999 cm³,Switzerland,2007,315000
Diesel,From 1 400 to 1 999 cm³,Switzerland,2008,363000
Diesel,From 1 400 to 1 999 cm³,Switzerland,2009,409000
Diesel,From 1 400 to 1 999 cm³,Switzerland,2010,459000
Diesel,From 1 400 to 1 999 cm³,Switzerland,2011,521000
Diesel,From 1 400 to 1 999 cm³,Switzerland,2012,594000
Diesel,From 1 400 to 1 999 cm³,Switzerland,2013,671518
Diesel,From 1 400 to 1 999 cm³,Switzerland,2014,732999
Diesel,From 1 400 to 1 999 cm³,Switzerland,2015,797901
Diesel,From 1 400 to 1 999 cm³,Switzerland,2016,858486
Diesel,From 1 400 to 1 999 cm³,Switzerland,2017,905411
Diesel,From 1 400 to 1 999 cm³,Switzerland,2018,935758
Diesel,From 1 400 to 1 999 cm³,Switzerland,2019,956015
Diesel,From 1 400 to 1 999 cm³,Switzerland,2020,970437
Diesel,From 1 400 to 1 999 cm³,Switzerland,2021,978426
Diesel,From 1 400 to 1 999 cm³,Switzerland,2022,970533
Diesel,From 1 400 to 1 999 cm³,Switzerland,2023,959398
Diesel,From 1 400 to 1 999 cm³,Cyprus,2005,9000
Diesel,From 1 400 to 1 999 cm³,Cyprus,2006,9000
Diesel,From 1 400 to 1 999 cm³,Cyprus,2007,11000
Diesel,From 1 400 to 1 999 cm³,Cyprus,2008,13000
Diesel,From 1 400 to 1 999 cm³,Cyprus,2009,15000
