Country,Year,RoadSpending,GDP,Spending/GDP%
Austria,1995,457000000.0,214698260000.0,0.21285687177902607
Austria,1996,426000000.0,211235270000.0,0.20167086680174195
Austria,1997,365000000.0,189610050000.0,0.19250034478657643
Austria,1998,430000000.0,194515730000.0,0.22106181335566025
Austria,1999,391000000.0,193552750000.0,0.2020121129769533
Austria,2000,475000000.0,175665530000.0,0.2704002316219921
Austria,2001,640000000.0,175783900000.0,0.3640834001293634
Austria,2002,,190676270000.0,
Austria,2003,,233365120000.00003,
Austria,2004,,268175690000.0,
Austria,2005,,281477630000.0,
Austria,2006,,299305220000.0,
Austria,2007,,346415590000.0,
Austria,2008,,384484450000.0,
Austria,2009,,357177470000.0,
Austria,2010,,349409550000.0,
Austria,2011,,384132010000.0,
Austria,2012,,364598290000.0,
Austria,2013,,382875330000.0,
Austria,2014,,394002110000.0,
Austria,2015,,339988900000.0,
Austria,2016,,352197920000.0,
Austria,2017,,371231460000.0,
Austria,2018,,405126220000.0,
Austria,2019,,395734050000.0,
Austria,2020,,386883890000.0,
Austria,2021,,426856460000.0,
Austria,2022,,419522860000.0,
Austria,2023,,460719180000.00006,
Belgium,1995,160000000.0,256587890000.0,0.06235680101660293
Belgium,1996,159000000.0,248569880000.0,0.06396591574168198
Belgium,1997,153000000.0,225189580000.0,0.06794275294620648
Belgium,1998,152000000.0,230399639999.99997,0.06597232530398052
Belgium,1999,161000000.0,230065000000.0,0.06998022298046204
Belgium,2000,149000000.0,210838330000.0,0.07067026190161912
Belgium,2001,147000000.0,210705720000.0,0.06976554789305198
Belgium,2002,172000000.0,229798000000.0,0.07484834506827735
Belgium,2003,185000000.0,283023560000.0,0.06536558299245476
Belgium,2004,156000000.0,328451830000.0,0.04749554904291445
Belgium,2005,156000000.0,343475030000.0,0.04541814873704211
Belgium,2006,169000000.0,363370090000.0,0.04650905637280162
Belgium,2007,166000000.0,419170420000.0,0.03960203107843344
Belgium,2008,156000000.0,460370300000.0,0.03388576543708401
Belgium,2009,175000000.0,429629700000.0,0.0407327519489458
Belgium,2010,348000000.0,428814460000.0,0.08115397974219432
Belgium,2011,248000000.0,465682710000.00006,0.05325514447379848
Belgium,2012,553000000.0,441855630000.0,0.12515400109307195
Belgium,2013,587000000.0,464401110000.0,0.12639935335210548
Belgium,2014,417000000.0,476620810000.0,0.08749093435513233
Belgium,2015,778000000.0,411520870000.0,0.18905481027001134
Belgium,2016,810000000.0,423578590000.0,0.19122779553140304
Belgium,2017,655906000.0,447302430000.0,0.14663591253014208
Belgium,2018,681000000.0,483755940000.00006,0.14077346523124862
Belgium,2019,735000000.0,476973249999.99994,0.15409669200526446
Belgium,2020,607000000.0,467784000000.0,0.12976074427513554
Belgium,2021,1311000000.0,535161450000.0,0.24497280213288905
Belgium,2022,1001000000.0,519824970000.0,0.19256481657662577
Belgium,2023,1031000000.0,562835110000.0,0.1831797593437268
Bulgaria,1995,,16902880000.0,
Bulgaria,1996,,10942550000.0,
Bulgaria,1997,,10072130000.0,
Bulgaria,1998,,13377590000.0,
Bulgaria,1999,,12128920000.0,
Bulgaria,2000,,11788940000.0,
Bulgaria,2001,,12622870000.0,
Bulgaria,2002,,14598669999.999998,
Bulgaria,2003,,18819940000.0,
Bulgaria,2004,,23280620000.0,
Bulgaria,2005,272011453.1,26582520000.0,1.0232718835535533
Bulgaria,2006,256161161.7,30598200000.0,0.83717722513089
Bulgaria,2007,213211984.9,39544480000.0,0.5391700305579944
Bulgaria,2008,256161161.7,48483640000.0,0.5283455650194581
Bulgaria,2009,130892729.3,46301360000.0,0.2826973749799142
Bulgaria,2010,370692299.8,45114100000.0,0.8216772578861155
Bulgaria,2011,511811023.6,51336980000.0,0.9969636382973833
Bulgaria,2012,585949483.6,48324330000.0,1.2125351424427406
Bulgaria,2013,505164127.2,49679800000.0,1.01684009839009
Bulgaria,2014,563452295.7,50802090000.0,1.109112431594842
Bulgaria,2015,839042846.9,45181740000.0,1.8570396954610424
Bulgaria,2016,163104611.9,47996810000.0,0.33982385891895733
Bulgaria,2017,115042437.9,52766320000.0,0.2180224770270127
Bulgaria,2018,882503323.4,59094219999.99999,1.493383487251376
Bulgaria,2019,528172614.8,61311210000.0,0.8614617372581621
Bulgaria,2020,525104816.4,62576790000.0,0.8391367093134692
Bulgaria,2021,151856018.0,74849000000.0,0.20288316209969406
Bulgaria,2022,403926781.9,80475580000.0,0.5019246607480182
Bulgaria,2023,613559668.7,90433790000.0,0.6784628496715664
Croatia,1995,,18378500000.0,
Croatia,1996,,19666330000.0,
Croatia,1997,,19663660000.0,
Croatia,1998,,21327070000.0,
Croatia,1999,,20990650000.0,
Croatia,2000,308713252.4,19702820000.0,1.5668480572831704
Croatia,2001,302608003.2,20526070000.0,1.47426177149352
Croatia,2002,605746897.6,23797710000.0,2.5453999464654373
Croatia,2003,1052226425.0,31371610000.0,3.354072121258679
Croatia,2004,872254296.9,37234040000.0,2.3426259865972106
Croatia,2005,737009755.1,40094500000.0,1.8381816835226779
Croatia,2006,850620479.1,44144890000.0,1.92688322272408
Croatia,2007,1038157807.0,52799250000.0,1.9662358972902076
Croatia,2008,1055942664.0,60978350000.0,1.731668147793438
Croatia,2009,885792023.4,55204920000.0,1.6045526800872096
Croatia,2010,498506868.4,52408540000.0,0.9511939626633369
Croatia,2011,459751808.3,55852840000.0,0.8231484885996845
Croatia,2012,477802110.3,51127830000.0,0.9345245247060162
Croatia,2013,426703829.1,53036880000.0,0.8045417247394644
Croatia,2014,283230473.2,52960340000.0,0.5347973090807197
Croatia,2015,240891897.3,45404240000.0,0.5305493436295817
Croatia,2016,197358816.1,46926140000.0,0.4205733011494233
Croatia,2017,194704359.9,50108780000.0,0.3885633613510447
Croatia,2018,281106908.2,55078540000.0,0.5103746544479937
Croatia,2019,349326431.7,55065190000.0,0.6343870450642229
Croatia,2020,442232397.6,51779310000.0,0.854071631313743
Croatia,2021,536598314.4,61989390000.0,0.8656292865601678
Croatia,2022,470900524.3,64132510000.0,0.7342618031011106
Croatia,2023,620473000.0,73612790000.0,0.8428874927848815
Czechia,1995,282514209.3,53902850000.0,0.5241173876705963
Czechia,1996,305765051.0,60346450000.00001,0.5066827477009832
Czechia,1997,382031169.5,55651700000.0,0.6864681034002555
