Duration,Country,Year,NumTrips
From 1 to 3 nights,Albania,2017,2447366
From 1 to 3 nights,Albania,2017,242447
From 1 to 3 nights,Albania,2017,2689813
From 1 to 3 nights,Albania,2019,2816246
From 1 to 3 nights,Albania,2019,284053
From 1 to 3 nights,Albania,2019,3100299
From 1 to 3 nights,Albania,2020,1856588
From 1 to 3 nights,Albania,2020,31962
From 1 to 3 nights,Albania,2020,128755
From 1 to 3 nights,Albania,2020,96794
From 1 to 3 nights,Albania,2020,1985343
From 1 to 3 nights,Austria,2012,5777112
From 1 to 3 nights,Austria,2012,2818254
From 1 to 3 nights,Austria,2012,8595366
From 1 to 3 nights,Austria,2013,6314809
From 1 to 3 nights,Austria,2013,2723405
From 1 to 3 nights,Austria,2013,9038213
From 1 to 3 nights,Austria,2014,6709183
From 1 to 3 nights,Austria,2014,2850096
From 1 to 3 nights,Austria,2014,9559279
From 1 to 3 nights,Austria,2015,6351613
From 1 to 3 nights,Austria,2015,2833028
From 1 to 3 nights,Austria,2015,9184641
From 1 to 3 nights,Austria,2016,6882323
From 1 to 3 nights,Austria,2016,3217806
From 1 to 3 nights,Austria,2016,10100129
From 1 to 3 nights,Austria,2017,6764655
From 1 to 3 nights,Austria,2017,3221235
From 1 to 3 nights,Austria,2017,9985891
From 1 to 3 nights,Austria,2018,7361385
From 1 to 3 nights,Austria,2018,3286714
From 1 to 3 nights,Austria,2018,10648099
From 1 to 3 nights,Austria,2019,7909105
From 1 to 3 nights,Austria,2019,3414754
From 1 to 3 nights,Austria,2019,11323859
From 1 to 3 nights,Austria,2020,6288046
From 1 to 3 nights,Austria,2020,1236012
From 1 to 3 nights,Austria,2020,1352403
From 1 to 3 nights,Austria,2020,116391
From 1 to 3 nights,Austria,2020,7640449
From 1 to 3 nights,Austria,2021,6677951
From 1 to 3 nights,Austria,2021,1897332
From 1 to 3 nights,Austria,2021,2098753
From 1 to 3 nights,Austria,2021,201421
From 1 to 3 nights,Austria,2021,8776704
From 1 to 3 nights,Austria,2022,9499556
From 1 to 3 nights,Austria,2022,4102510
From 1 to 3 nights,Austria,2022,4464312
From 1 to 3 nights,Austria,2022,361802
From 1 to 3 nights,Austria,2022,13963868
From 1 to 3 nights,Austria,2023,9211332
From 1 to 3 nights,Austria,2023,4675543
From 1 to 3 nights,Austria,2023,5204437
From 1 to 3 nights,Austria,2023,528894
From 1 to 3 nights,Austria,2023,14415769
From 1 to 3 nights,Belgium,2012,1489881
From 1 to 3 nights,Belgium,2012,2156721
From 1 to 3 nights,Belgium,2012,3646602
From 1 to 3 nights,Belgium,2013,1670786
From 1 to 3 nights,Belgium,2013,2624343
From 1 to 3 nights,Belgium,2013,4295129
From 1 to 3 nights,Belgium,2014,1435782
From 1 to 3 nights,Belgium,2014,2884899
From 1 to 3 nights,Belgium,2014,4320681
From 1 to 3 nights,Belgium,2015,2235671
From 1 to 3 nights,Belgium,2015,3032998
From 1 to 3 nights,Belgium,2015,5268669
From 1 to 3 nights,Belgium,2016,1698476
From 1 to 3 nights,Belgium,2016,3743983
From 1 to 3 nights,Belgium,2016,5442459
From 1 to 3 nights,Belgium,2017,2175530
From 1 to 3 nights,Belgium,2017,3497669
From 1 to 3 nights,Belgium,2017,5673199
From 1 to 3 nights,Belgium,2018,2469676
From 1 to 3 nights,Belgium,2018,3737113
From 1 to 3 nights,Belgium,2018,6206788
From 1 to 3 nights,Belgium,2019,2782431
From 1 to 3 nights,Belgium,2019,3925437
From 1 to 3 nights,Belgium,2019,6707869
From 1 to 3 nights,Belgium,2020,2219809
From 1 to 3 nights,Belgium,2020,1390863
From 1 to 3 nights,Belgium,2020,1483491
From 1 to 3 nights,Belgium,2020,92627
From 1 to 3 nights,Belgium,2020,3703299
From 1 to 3 nights,Belgium,2021,3606225
From 1 to 3 nights,Belgium,2021,1680574
From 1 to 3 nights,Belgium,2021,1748240
From 1 to 3 nights,Belgium,2021,67666
From 1 to 3 nights,Belgium,2021,5354465
From 1 to 3 nights,Belgium,2022,3316240
From 1 to 3 nights,Belgium,2022,3253301
From 1 to 3 nights,Belgium,2022,3478342
From 1 to 3 nights,Belgium,2022,225042
From 1 to 3 nights,Belgium,2022,6794582
From 1 to 3 nights,Belgium,2023,3403263
From 1 to 3 nights,Belgium,2023,3678589
From 1 to 3 nights,Belgium,2023,3951866
From 1 to 3 nights,Belgium,2023,273276
From 1 to 3 nights,Belgium,2023,7355129
