Duration,Country,Year,NumTrips
From 1 to 3 nights,Albania,2017,2689813
From 1 to 3 nights,Albania,2019,3100299
From 1 to 3 nights,Albania,2020,1985343
From 1 to 3 nights,Austria,2012,8595366
From 1 to 3 nights,Austria,2013,9038213
From 1 to 3 nights,Austria,2014,9559279
From 1 to 3 nights,Austria,2015,9184641
From 1 to 3 nights,Austria,2016,10100129
From 1 to 3 nights,Austria,2017,9985891
From 1 to 3 nights,Austria,2018,10648099
From 1 to 3 nights,Austria,2019,11323859
From 1 to 3 nights,Austria,2020,7640449
From 1 to 3 nights,Austria,2021,8776704
From 1 to 3 nights,Austria,2022,13963868
From 1 to 3 nights,Austria,2023,14415769
From 1 to 3 nights,Belgium,2012,3646602
From 1 to 3 nights,Belgium,2013,4295129
From 1 to 3 nights,Belgium,2014,4320681
From 1 to 3 nights,Belgium,2015,5268669
From 1 to 3 nights,Belgium,2016,5442459
From 1 to 3 nights,Belgium,2017,5673199
From 1 to 3 nights,Belgium,2018,6206788
From 1 to 3 nights,Belgium,2019,6707869
From 1 to 3 nights,Belgium,2020,3703299
From 1 to 3 nights,Belgium,2021,5354465
From 1 to 3 nights,Belgium,2022,6794582
From 1 to 3 nights,Belgium,2023,7355129
From 1 to 3 nights,Bulgaria,2012,2076532
From 1 to 3 nights,Bulgaria,2013,2039729
From 1 to 3 nights,Bulgaria,2014,2045795
From 1 to 3 nights,Bulgaria,2015,1555242
From 1 to 3 nights,Bulgaria,2016,1746019
From 1 to 3 nights,Bulgaria,2017,2915297
From 1 to 3 nights,Bulgaria,2018,2619509
From 1 to 3 nights,Bulgaria,2019,2551899
From 1 to 3 nights,Bulgaria,2020,1267891
From 1 to 3 nights,Bulgaria,2021,1735923
From 1 to 3 nights,Bulgaria,2022,2165835
From 1 to 3 nights,Bulgaria,2023,2353394
From 1 to 3 nights,Croatia,2012,4082385
From 1 to 3 nights,Croatia,2013,4190195
From 1 to 3 nights,Croatia,2014,3890091
From 1 to 3 nights,Croatia,2015,2778748
From 1 to 3 nights,Croatia,2016,1959133
From 1 to 3 nights,Croatia,2017,1991587
From 1 to 3 nights,Croatia,2018,2191826
From 1 to 3 nights,Croatia,2019,2748797
From 1 to 3 nights,Croatia,2020,1457580
From 1 to 3 nights,Croatia,2021,1751663
From 1 to 3 nights,Croatia,2022,2045876
From 1 to 3 nights,Croatia,2023,2618915
From 1 to 3 nights,Cyprus,2012,1232492
From 1 to 3 nights,Cyprus,2013,1051445
From 1 to 3 nights,Cyprus,2014,1111090
From 1 to 3 nights,Cyprus,2015,1239566
From 1 to 3 nights,Cyprus,2016,1297550
From 1 to 3 nights,Cyprus,2017,1402370
From 1 to 3 nights,Cyprus,2018,1584786
From 1 to 3 nights,Cyprus,2019,1666675
From 1 to 3 nights,Cyprus,2020,1533144
From 1 to 3 nights,Cyprus,2021,1662887
From 1 to 3 nights,Cyprus,2022,1607373
From 1 to 3 nights,Cyprus,2023,1594957
From 1 to 3 nights,Czechia,2012,19679409
From 1 to 3 nights,Czechia,2013,18326261
From 1 to 3 nights,Czechia,2014,19708974
From 1 to 3 nights,Czechia,2015,17441143
From 1 to 3 nights,Czechia,2016,18977831
From 1 to 3 nights,Czechia,2017,21390393
From 1 to 3 nights,Czechia,2018,20301161
From 1 to 3 nights,Czechia,2019,19970288
From 1 to 3 nights,Czechia,2020,13360538
From 1 to 3 nights,Czechia,2021,14989829
From 1 to 3 nights,Czechia,2022,18773218
From 1 to 3 nights,Czechia,2023,14594810
From 1 to 3 nights,Denmark,2012,18870153
From 1 to 3 nights,Denmark,2013,21570785
From 1 to 3 nights,Denmark,2014,22110771
From 1 to 3 nights,Denmark,2015,22214379
From 1 to 3 nights,Denmark,2016,19908207
From 1 to 3 nights,Denmark,2017,15818637
From 1 to 3 nights,Denmark,2018,7586594
From 1 to 3 nights,Denmark,2019,15093224
From 1 to 3 nights,Denmark,2020,12813652
From 1 to 3 nights,Denmark,2021,9549761
From 1 to 3 nights,Denmark,2022,9776544
From 1 to 3 nights,Denmark,2023,9437751
From 1 to 3 nights,Estonia,2012,1813285
From 1 to 3 nights,Estonia,2013,1781794
From 1 to 3 nights,Estonia,2014,2533287
From 1 to 3 nights,Estonia,2015,2515832
From 1 to 3 nights,Estonia,2016,2992551
From 1 to 3 nights,Estonia,2017,3018772
